annee	groupe	identifiant	sexe	poids	taille	rythmcard	age	baccalaureat	mention	hmental	hmoteur	hsensoriel	pblesocial	pratique	sport	niveau	mecriture	mfourchette	pballon	oeil	rotation	pappui
2006	A	1	masculin	70	170	60	27/01/85	S	P	0	0	0	1	non	gymnastique	loisir	droite	gauche	droit	droit	gauche	droit
2006	A	2	masculin	80	185	65	13/01/84	S	P	1	1	1	0	oui	handball	competition	droite	gauche	droit	droit	gauche	gauche
2006	A	3	feminin	54	159	62	18/04/84	S	P	0	1	0	1	non	NA	NA	droite	droite	droit	droit	gauche	droit
2006	A	4	feminin	60	170	58	20/05/85	ES	P	0	1	0	0	oui	tennis	competition	gauche	gauche	droit	gauche	droit	droit
2006	A	5	feminin	60	170	56	30/04/85	S	AB	1	0	0	0	oui	danse	competition	droite	droite	droit	gauche	droit	droit
2006	A	6	feminin	59	165	56	23/02/85	L	P	1	1	0	0	oui	gymnastique	competition	gauche	gauche	droit	droit	gauche	droit
2006	A	7	feminin	52	165	54	13/03/84	ES	P	1	0	0	0	oui	danse	competition	droite	droite	droit	gauche	gauche	droit
2006	A	8	masculin	65	174	60	21/04/85	ES	P	0	1	0	0	oui	boules	competition	droite	droite	droit	droit	droit	droit
2006	A	9	masculin	75	183	60	09/02/85	S	B	0	0	0	1	oui	football	competition	droite	droite	droit	gauche	gauche	droit
2006	A	10	feminin	63	173	55	28/11/85	ES	P	0	1	0	0	oui	snowboard	loisir	droite	droite	droit	droit	droit	droit
2006	A	11	feminin	60	168	62	09/01/79	S	P	0	1	1	0	oui	gymnastique	NA	droite	droite	droit	gauche	gauche	gauche
2006	A	12	feminin	62	164	65	21/11/85	S	AB	0	1	0	0	oui	gymnastique	competition	droite	droite	droit	droit	droit	droit
2006	A	13	feminin	60	159	65	09/01/85	S	P	0	1	1	0	oui	handball	competition	droite	droite	droit	gauche	gauche	gauche
2006	A	14	feminin	63	173	80	26/12/83	ES	P	1	0	0	0	oui	handball	competition	droite	droite	droit	droit	gauche	droit
2006	A	15	masculin	71	180	75	31/08/82	S	P	1	0	0	0	oui	tennis_de_table	competition	droite	droite	droit	gauche	gauche	droit
2006	A	16	feminin	56	163	NA	23/07/84	ES	P	0	1	0	1	oui	rugby	competition	droite	droite	gauche	droit	gauche	gauche
2006	A	17	feminin	68	176	80	21/02/83	S	P	1	0	0	1	oui	basket	competition	droite	droite	droit	droit	gauche	droit
2006	A	18	masculin	66	174	62	23/02/84	ES	AB	0	1	0	0	oui	handball	competition	droite	droite	droit	droit	droit	gauche
2006	A	19	masculin	63	170	60	19/09/84	S	NA	0	0	0	1	oui	NA	loisir	droite	droite	droit	gauche	gauche	droit
2006	A	20	masculin	67	170	67	NA	ES	P	1	1	0	0	non	NA	NA	droite	droite	droit	droit	droit	droit
2006	A	21	masculin	68	176	62	04/07/85	STAE	AB	0	1	0	1	non	NA	NA	droite	droite	droit	droit	gauche	droit
2006	A	22	masculin	90	194	NA	24/04/84	S	P	0	1	1	0	oui	basket	competition	droite	gauche	droit	gauche	gauche	droit
2006	A	23	masculin	61.5	173	68	27/04/85	S	P	1	1	0	0	non	NA	NA	droite	gauche	droit	droit	gauche	droit
2006	A	24	feminin	58	163	66	05/03/83	L	P	1	1	0	1	oui	équitation	competition	droite	droite	gauche	droit	gauche	droit
2006	A	25	feminin	60	175	70	25/05/85	ES	NA	0	1	1	0	oui	danse	loisir	droite	gauche	droit	droit	gauche	gauche
2006	A	26	masculin	75	183	70	16/07/84	ES	P	1	0	0	0	non	NA	NA	droite	droite	droit	gauche	gauche	droit
2006	A	27	masculin	58	170	74	02/01/85	S	P	0	1	0	0	non	NA	NA	droite	droite	droit	gauche	droit	droit
2006	B	1	masculin	57	172	49	27/01/84	S	P	0	1	0	0	oui	VTT	competition	droite	droite	droit	gauche	droit	droit
2006	B	2	masculin	68	175	75	06/01/86	S	P	1	1	0	1	non	NA	NA	gauche	droite	droit	gauche	droit	droit
2006	B	3	feminin	48	158	80	03/08/83	S	P	1	0	0	0	oui	football	competition	droite	droite	droit	droit	gauche	droit
2006	B	4	feminin	57	170	72	05/08/84	ES	AB	0	1	0	1	oui	basket	competition	droite	droite	droit	droit	droit	droit
2006	B	5	masculin	68	180	44	26/05/85	S	P	1	1	0	0	oui	football	competition	gauche	gauche	gauche	gauche	droit	droit
2006	B	6	masculin	65	171	66	24/08/83	S	P	1	0	0	0	oui	football	competition	gauche	gauche	droit	gauche	droit	gauche
2006	B	7	feminin	60	162	60	31/08/84	ES	NA	0	1	0	0	oui	natation	loisir	droite	gauche	droit	gauche	droit	droit
2006	B	8	feminin	49	160	55	08/10/85	S	P	0	0	0	1	oui	ski_alpin	loisir	droite	NA	NA	gauche	gauche	gauche
2006	B	9	feminin	53	164	55	NA	L	AB	0	0	0	1	oui	snowboard	loisir	droite	droite	gauche	droit	gauche	droit
2006	B	10	masculin	90	190	60	03/02/85	S	NA	0	1	1	1	non	NA	NA	droite	droite	droit	droit	gauche	gauche
2006	B	11	masculin	65	177	70	10/06/85	S	P	0	1	0	0	oui	football	competition	droite	droite	droit	droit	gauche	gauche
2006	B	12	feminin	60	165	80	22/11/85	S	P	1	0	1	0	oui	judo	loisir	droite	droite	droit	droit	droit	droit
2006	B	13	feminin	52	164	75	09/07/82	S	P	0	1	1	0	oui	tennis	competition	droite	droite	droit	droit	gauche	droit
2006	B	14	feminin	58	160	57	20/01/85	S	P	0	1	0	0	non	NA	NA	droite	droite	droit	gauche	droit	droit
2006	B	15	feminin	60	165	66	24/10/83	S	P	0	1	0	0	oui	basket	competition	gauche	gauche	droit	droit	gauche	droit
